"","x"
"1153","Ccdc102a"
"1154","Ccdc112"
"1155","Ccdc115"
"1156","Ccdc117"
"1157","Ccdc12"
"1158","Ccdc120"
"1159","Ccdc124"
"1160","Ccdc126"
"1161","Ccdc127"
"1162","Ccdc130"
"1163","Ccdc132"
"1164","Ccdc134"
"1165","Ccdc136"
"1166","Ccdc137"
"1167","Ccdc138"
"1168","Ccdc14"
"1169","Ccdc141"
"1170","Ccdc15"
"1171","Ccdc160"
"1172","Ccdc167"
"1173","Ccdc174"
"1174","Ccdc18"
"1175","Ccdc186"
"1176","Ccdc22"
"1177","Ccdc23"
"1178","Ccdc25"
"1179","Ccdc28a"
"1180","Ccdc28b"
"1181","Ccdc30"
"1182","Ccdc32"
"1183","Ccdc43"
"1184","Ccdc47"
"1185","Ccdc50"
"1186","Ccdc51"
"1187","Ccdc53"
"1188","Ccdc58"
"1189","Ccdc58"
"1190","Ccdc59"
"1191","Ccdc6"
"1192","Ccdc61"
"1193","Ccdc66"
"1194","Ccdc71"
"1195","Ccdc71l"
"1196","Ccdc77"
"1197","Ccdc8"
"1198","Ccdc85a"
"1199","Ccdc85c"
"1200","Ccdc86"
"1201","Ccdc88a"
"1202","Ccdc88c"
"1203","Ccdc9"
"1204","Ccdc90b"
"1205","Ccdc91"
"1206","Ccdc92"
"1207","Ccdc93"
"1208","Ccdc94"
"1209","Ccdc97"
"1210","Cchcr1"
"1211","Ccm2"
"1212","Ccna2"
"1213","Ccnb1"
"1214","Ccnb2"
"1215","Ccnd1"
"1216","Ccnd3"
"1217","Ccndbp1"
"1218","Ccne1"
"1219","Ccnf"
"1220","Ccnh"
"1221","Ccnk"
"1222","Ccnl1"
"1223","Ccnl2"
"1224","Ccno"
"1225","Ccnt1"
"1226","Ccnt2"
"1227","Ccnt2"
"1228","Ccny"
"1229","Ccnyl1"
"1230","Ccp110"
"1231","Ccpg1"
"1232","Ccs"
"1233","Ccsap"
"1234","Ccser2"
"1235","Cct2"
"1236","Cct3"
"1237","Cct4"
"1238","Cct5"
"1239","Cct6a"
"1240","Cct6b"
"1241","Cct7"
"1242","Cct8"
"1243","Ccz1"
"1244","Cd109"
"1245","Cd151"
"1246","Cd1d2"
"1247","Cd276"
"1248","Cd2ap"
"1249","Cd2bp2"
"1250","Cd38"
"1251","Cd3eap"
"1252","Cd47"
"1253","Cd55"
"1254","Cd63"
"1255","Cd68"
